1010080	0.000000
1020320	0.899565
1030495	0.758393
1040529	0.692396
1050617	0.703223
1060854	0.692202
1070999	0.650358
1081434	0.595327
1092137	0.545248
1102139	0.510131
1112841	0.473769
1123200	0.462090
1133511	0.458956
1143763	0.477026
1155209	0.521093
1165777	0.550200
1176877	0.578321
1187499	0.599350
1197561	0.609945
1208809	0.606471
1219910	0.601296
1230820	0.590779
1241955	0.576201
1252401	0.562934
1262955	0.554087
1273652	0.542255
1285016	0.540533
1296353	0.533641
